plate-130, 2024-09-10T23:19:12.956975451Z, 2024-09-11T08:49:20.313060663Z, 9h30m7.356085212s
plate-775, 2024-09-10T23:14:50.14768294Z, 2024-09-11T08:49:20.33861859Z, 9h34m30.19093565s
plate-671, 2024-09-10T23:16:07.744239069Z, 2024-09-11T08:49:27.404300794Z, 9h33m19.660061725s
plate-414, 2024-09-10T23:19:04.929904825Z, 2024-09-11T08:49:30.423347046Z, 9h30m25.493442221s
plate-241, 2024-09-10T23:18:22.64542272Z, 2024-09-11T08:49:38.457226864Z, 9h31m15.811804144s
plate-288, 2024-09-11T08:49:44.076653066Z, 2024-09-11T08:49:44.524094338Z, 447.441272ms
plate-103, 2024-09-11T08:49:38.016819183Z, 2024-09-11T08:49:45.550395704Z, 7.533576521s
plate-517, 2024-09-11T08:49:30.941185922Z, 2024-09-11T08:49:45.569494251Z, 14.628308329s
plate-612, 2024-09-10T23:18:50.878040155Z, 2024-09-11T08:49:47.586999626Z, 9h30m56.708959471s
plate-717, 2024-09-10T23:18:25.660308226Z, 2024-09-11T08:49:50.613198Z, 9h31m24.952889774s
plate-889, 2024-09-10T23:18:44.856807359Z, 2024-09-11T08:49:53.692375674Z, 9h31m8.835568315s
plate-858, 2024-09-11T08:49:34.966454187Z, 2024-09-11T08:49:53.703436863Z, 18.736982676s
plate-865, 2024-09-11T08:49:21.854347368Z, 2024-09-11T08:50:04.779681155Z, 42.925333787s
plate-730, 2024-09-10T23:18:29.679675144Z, 2024-09-11T08:50:04.83538224Z, 9h31m35.155707096s
plate-687, 2024-09-10T23:18:46.866142673Z, 2024-09-11T08:50:04.842803943Z, 9h31m17.97666127s
plate-751, 2024-09-11T08:50:02.204639405Z, 2024-09-11T08:50:05.889073955Z, 3.68443455s
plate-487, 2024-09-11T08:49:42.064502891Z, 2024-09-11T08:50:05.893737303Z, 23.829234412s
plate-465, 2024-09-11T08:49:22.883413311Z, 2024-09-11T08:50:08.950315714Z, 46.066902403s
plate-284, 2024-09-11T08:50:05.240574772Z, 2024-09-11T08:50:11.995235121Z, 6.754660349s
plate-8, 2024-09-11T08:49:19.815562317Z, 2024-09-11T08:50:15.017618162Z, 55.202055845s
plate-758, 2024-09-11T08:50:01.18787998Z, 2024-09-11T08:50:18.028221222Z, 16.840341242s
plate-723, 2024-09-11T08:49:48.109150022Z, 2024-09-11T08:50:21.201572942Z, 33.09242292s
plate-315, 2024-09-10T23:16:06.7318615Z, 2024-09-11T08:50:24.220676774Z, 9h34m17.488815274s
plate-730, 2024-09-10T23:18:29.679675144Z, 2024-09-11T08:50:28.262682109Z, 9h31m58.583006965s
plate-439, 2024-09-10T23:16:16.789833586Z, 2024-09-11T08:50:30.347487758Z, 9h34m13.557654172s
plate-151, 2024-09-11T08:50:26.363762919Z, 2024-09-11T08:50:31.394168907Z, 5.030405988s
plate-66, 2024-09-11T08:49:41.050653563Z, 2024-09-11T08:50:33.412587589Z, 52.361934026s
plate-469, 2024-09-10T23:18:03.603474346Z, 2024-09-11T08:50:36.454201986Z, 9h32m32.85072764s
plate-517, 2024-09-11T08:50:30.399634481Z, 2024-09-11T08:50:39.470184505Z, 9.070550024s
plate-810, 2024-09-10T23:18:56.903225683Z, 2024-09-11T08:50:43.522485819Z, 9h31m46.619260136s
plate-988, 2024-09-11T08:50:09.272458617Z, 2024-09-11T08:50:46.568339921Z, 37.295881304s
plate-694, 2024-09-11T08:49:34.957677654Z, 2024-09-11T08:50:47.593242948Z, 1m12.635565294s
plate-62, 2024-09-10T23:18:59.909987798Z, 2024-09-11T08:50:49.647715023Z, 9h31m49.737727225s
plate-55, 2024-09-11T08:49:53.162045815Z, 2024-09-11T08:50:51.667027773Z, 58.504981958s
plate-569, 2024-09-11T08:49:38.007730434Z, 2024-09-11T08:50:53.698007017Z, 1m15.690276583s
plate-855, 2024-09-10T23:15:16.359732576Z, 2024-09-11T08:50:56.767897017Z, 9h35m40.408164441s
plate-34, 2024-09-11T08:50:34.471643158Z, 2024-09-11T08:50:58.801650456Z, 24.330007298s
plate-548, 2024-09-10T23:16:24.92620494Z, 2024-09-11T08:50:59.812849583Z, 9h34m34.886644643s
plate-517, 2024-09-11T08:50:53.029545894Z, 2024-09-11T08:51:01.822117736Z, 8.792571842s
plate-67, 2024-09-10T23:18:51.882966495Z, 2024-09-11T08:51:01.85207741Z, 9h32m9.969110915s
plate-366, 2024-09-11T08:51:00.070305629Z, 2024-09-11T08:51:02.906154018Z, 2.835848389s
plate-126, 2024-09-11T08:50:34.449686608Z, 2024-09-11T08:51:06.025492537Z, 31.575805929s
plate-576, 2024-09-11T08:50:38.935277244Z, 2024-09-11T08:51:08.043918126Z, 29.108640882s
plate-746, 2024-09-11T08:50:36.559969038Z, 2024-09-11T08:51:12.068889495Z, 35.508920457s
plate-185, 2024-09-11T08:51:06.304003063Z, 2024-09-11T08:51:14.091272255Z, 7.787269192s
plate-847, 2024-09-11T08:50:52.020328233Z, 2024-09-11T08:51:15.244350329Z, 23.224022096s
plate-430, 2024-09-11T08:49:26.920187571Z, 2024-09-11T08:51:17.761843585Z, 1m50.841656014s
plate-315, 2024-09-11T08:51:16.625133034Z, 2024-09-11T08:51:18.802301414Z, 2.17716838s
plate-99, 2024-09-10T23:19:02.915872179Z, 2024-09-11T08:51:24.851752243Z, 9h32m21.935880064s
plate-793, 2024-09-11T08:51:19.911915773Z, 2024-09-11T08:51:29.916828881Z, 10.004913108s
plate-864, 2024-09-11T08:51:02.291821619Z, 2024-09-11T08:51:31.954528795Z, 29.662707176s
plate-892, 2024-09-10T23:16:20.799262566Z, 2024-09-11T08:51:34.993951396Z, 9h35m14.19468883s
plate-30, 2024-09-11T08:49:23.893183793Z, 2024-09-11T08:51:42.047992635Z, 2m18.154808842s
