sla333, 12, 1, 1
sla333, 12, 112, 1
plate-270, 2024-09-09T08:27:52.860981126Z, 2024-09-09T08:27:55.138673431Z, 2.277692305s
plate-426, 2024-09-09T08:37:33.623083982Z, 2024-09-09T08:37:36.404174139Z, 2.781090157s
plate-869, 2024-09-09T08:37:38.636200668Z, 2024-09-09T08:37:42.416539551Z, 3.780338883s
plate-908, 2024-09-09T08:37:42.642837631Z, 2024-09-09T08:37:46.433438894Z, 3.790601263s
plate-834, 2024-09-09T08:37:35.63064071Z, 2024-09-09T08:37:48.441027596Z, 12.810386886s
plate-241, 2024-09-09T08:37:46.651901518Z, 2024-09-09T08:37:48.446253044Z, 1.794351526s
plate-722, 2024-09-09T08:37:42.646481184Z, 2024-09-09T08:37:51.459851656Z, 8.813370472s
plate-322, 2024-09-09T08:37:51.661960591Z, 2024-09-09T08:37:52.472976511Z, 811.01592ms
plate-716, 2024-09-09T08:37:50.65717294Z, 2024-09-09T08:37:52.480866811Z, 1.823693871s
plate-813, 2024-09-09T08:37:55.669137962Z, 2024-09-09T08:38:06.509967393Z, 10.840829431s
plate-517, 2024-09-09T08:38:04.70213536Z, 2024-09-09T08:38:10.523566562Z, 5.821431202s
plate-469, 2024-09-09T08:37:59.68918402Z, 2024-09-09T08:38:13.532586181Z, 13.843402161s
plate-856, 2024-09-09T08:38:12.725772945Z, 2024-09-09T08:38:15.544139123Z, 2.818366178s
plate-954, 2024-09-09T08:38:14.759201386Z, 2024-09-09T08:38:18.551116522Z, 3.791915136s
plate-92, 2024-09-09T08:37:55.675828246Z, 2024-09-09T08:38:21.558372961Z, 25.882544715s
plate-755, 2024-09-09T08:38:18.767755727Z, 2024-09-09T08:38:21.56309819Z, 2.795342463s
plate-469, 2024-09-09T08:38:14.739582952Z, 2024-09-09T08:38:23.573179684Z, 8.833596732s
plate-185, 2024-09-09T08:38:23.783548409Z, 2024-09-09T08:38:25.591317955Z, 1.807769546s
plate-852, 2024-09-09T08:38:01.693325231Z, 2024-09-09T08:38:25.603360961Z, 23.91003573s
plate-955, 2024-09-09T08:38:14.751860588Z, 2024-09-09T08:38:33.617918259Z, 18.866057671s
plate-37, 2024-09-09T08:38:26.79152362Z, 2024-09-09T08:38:33.622395567Z, 6.830871947s
plate-364, 2024-09-09T08:38:24.787401862Z, 2024-09-09T08:38:37.636181458Z, 12.848779596s
plate-111, 2024-09-09T08:38:19.771572231Z, 2024-09-09T08:38:37.645361146Z, 17.873788915s
